iata;type;name;coordinates;timezone;parent_name;City
NNX;city;Nunukan;4.15:117.65;Asia/Makassar;Indonesia;Nunukan
KLI;city;Kota Koli;4.16:21.65;Africa/Kinshasa;Democratic Republic of the Congo;Kota Koli
MLE;city;Male;4.175:73.5088889;Indian/Maldives;Maldives;Male
MUR;city;Marudi;4.18:114.32;Asia/Kuching;Malaysia;Marudi
LKG;city;Lokichoggio;4.2:34.35;Africa/Nairobi;Kenya;Lokichoggio
SWY;city;Sitiawan;4.209192:100.699601;Asia/Kuala_Lumpur;Malaysia;Sitiawan
BTO;city;Botopasie;4.2164592:-55.446469;+3.0;Suriname;Botopasie
LSM;city;Long Semado;4.22:115.58;Asia/Kuching;Malaysia;Long Semado
PKG;city;Pangkor;4.24:100.55;Asia/Kuala_Lumpur;Malaysia;Pangkor
MEQ;city;Meulaboh;4.25:96.22;Asia/Pontianak;Indonesia;Meulaboh
BBT;city;Berberati;4.2666667:15.7833333;Africa/Bangui;Central African Republic;Berberati
TWU;city;Tawau;4.282457:117.914787;Asia/Kuching;Malaysia;Tawau
BDT;city;Gbadolite;4.2833333:21.0166667;Africa/Kinshasa;Democratic Republic of the Congo;Gbadolite
GIR;city;Girardot;4.300725:-74.80545;America/Bogota;Colombia;Girardot
REI;city;Regina;4.3096782:-52.134179;America/Cayenne;French Guiana;Regina
SXT;city;Taman Negara;4.32:102.38;Asia/Kuala_Lumpur;Malaysia;Taman Negara
ICA;city;Icabaru;4.33:-61.73;America/Caracas;Venezuela;Icabaru
MYY;city;Miri;4.333131:113.99486;Asia/Kuching;Malaysia;Miri
BGF;city;Bangui;4.361698:18.555975;Africa/Bangui;Central African Republic;Bangui
CPA;city;Cape Palmas;4.37:-7.7;Africa/Monrovia;Liberia;Cape Palmas
EUO;city;Paratebueno;4.375212:-73.211334;America/Bogota;Colombia;Paratebueno
GSA;city;Long Pasia;4.41:115.72;Asia/Kuching;Malaysia;Long Pasia
TXU;city;Tabou;4.42:-7.36;Africa/Abidjan;Ivory Coast;Tabou
OUR;city;Batouri;4.4333333:14.3666667;Africa/Douala;Cameroon;Batouri
IBE;city;Ibague;4.440663:-75.244141;America/Bogota;Colombia;Ibague
SMM;city;Semporna;4.45:118.6;Asia/Kuching;Malaysia;Semporna
MND;city;Medina;4.508051:-73.360443;America/Bogota;Colombia;Medina
AXM;city;Armenia;4.5286111:-75.7041667;America/Bogota;Colombia;Armenia
KTE;city;Kerteh;4.54:103.43;Asia/Kabul;Malaysia;Kerteh
WOK;city;Wonken;4.55:-61.13;America/Caracas;Venezuela;Wonken
SNV;city;Santa Elena;4.55:-61.14;America/Caracas;Venezuela;Santa Elena
LGT;city;Las Gaviotas;4.55:-70.93;America/Bogota;Colombia;Las Gaviotas
LSU;city;Long Sukang;4.55:115.49;Asia/Kuching;Malaysia;Long Sukang
BTA;city;YaoundÌ©;4.55:13.73;;Cameroon;YaoundÌ©
CCO;city;Carimagua;4.56:-71.34;America/Bogota;Colombia;Carimagua
PPH;city;Peraitepuy;4.57:-61.48;America/Caracas;Venezuela;Peraitepuy
BAC;city;Barranca De Upia;4.57:-72.95;America/Bogota;Colombia;Barranca De Upia
GRC;city;Grand Cess;4.57:-8.22;Africa/Monrovia;Liberia;Grand Cess
BOG;city;Bogota;4.5980556:-74.0758333;America/Bogota;Colombia;Bogota
MYM;city;Monkey Mountain;4.6:-59.63;America/Guyana;Guyana;Monkey Mountain
IPH;city;Ipoh;4.61175:101.113506;Asia/Kuala_Lumpur;Malaysia;Ipoh
EBO;city;Ebon;4.6166113:168.7249469;+0.0;Marshall Islands;Ebon
BBV;city;Bereby;4.63:-6.92;Africa/Abidjan;Ivory Coast;Bereby
SJG;city;San Pedro Jagua;4.63:-73.3;America/Bogota;Colombia;San Pedro Jagua
KTO;city;Kato;4.65:-59.816667;Asia/Nicosia;Guyana;Kato
CUI;city;Currillo;4.67:-72.0;America/Bogota;Colombia;Currillo
NPU;city;San Pedro Uraba;4.67:-76.73;America/Bogota;Colombia;San Pedro Uraba
SAZ;city;Sasstown;4.67:-8.42;Africa/Monrovia;Liberia;Sasstown
MZS;city;Mostyn;4.67:118.18;Asia/Kuching;Malaysia;Mostyn
PMT;city;Paramakotoi;4.68:-59.7;America/Guyana;Guyana;Paramakotoi
TNQ;city;Teraina;4.684419:-160.3896327;;Kiribati;Teraina
CRC;city;Cartago;4.7:-75.9166667;America/Bogota;Colombia;Cartago
SPE;city;Sepulot;4.716667:116.466667;Asia/Kuching;Malaysia;Sepulot
ORJ;city;Orinduik;4.73:-60.04;America/Guyana;Guyana;Orinduik
ACL;city;Aguaclara;4.73803:-73.00394;America/Bogota;Colombia;Aguaclara
LAT;city;La Uribe;4.75:-74.05;America/Bogota;Colombia;La Uribe
SQB;city;Santa Ana;4.75:-75.95;America/Bogota;Colombia;Santa Ana
SPY;city;San Pedro;4.76195:-6.637102;Africa/Abidjan;Ivory Coast;San Pedro
PHC;city;Port Harcourt;4.784821:7.005453;Africa/Lagos;Nigeria;Port Harcourt
BGU;city;Bangassou;4.79:22.78;Africa/Bangui;Central African Republic;Bangassou
ORC;city;Orocue;4.8:-71.35;America/Bogota;Colombia;Orocue
LMN;city;Limbang;4.81:115.01;Asia/Kuching;Malaysia;Limbang
PEI;city;Pereira;4.8142778:-75.6945583;America/Bogota;Colombia;Pereira
LWY;city;Lawas;4.85:115.4;Asia/Kuching;Malaysia;Lawas
TPG;city;Taiping;4.854099:100.7375749;Asia/Kuala_Lumpur;Malaysia;Taiping
JUB;city;Juba;4.865:31.6;Africa/Khartoum;Sudan;Juba
MOY;city;Monterrey;4.875918:-72.897911;America/Bogota;Colombia;Monterrey
TKD;city;Takoradi;4.9:-1.77;Africa/Accra;Ghana;Takoradi
CAY;city;Cayenne;4.9227:-52.3269;America/Cayenne;French Guiana;Cayenne
CRF;city;Carnot;4.9404212:15.8789403;Africa/Bangui;Central African Republic;Carnot
BWN;city;Bandar Seri Begawan;4.940879:114.948601;Asia/Brunei;Brunei;Bandar Seri Begawan
ZSS;city;Sassandra;4.95:-6.0833333;Africa/Abidjan;Ivory Coast;Sassandra
NKS;city;Nkongsamba;4.95604:9.936546;Africa/Douala;Cameroon;Nkongsamba
CBQ;city;Calabar;4.98:8.35;Africa/Lagos;Nigeria;Calabar
SHF;city;Shanhaiguan;40.011677:119.758974;Asia/Harbin;China;Shanhaiguan
NEL;city;Lakehurst;40.014561:-74.3112574;America/New_York;United States;Lakehurst
WBU;city;Boulder;40.0149856:-105.2705456;America/Chicago;United States;Boulder
KRW;city;Turkmenbashi;40.025051:52.957569;Asia/Ashgabat;Turkmenistan;Turkmenbashi
LNS;city;Lancaster;40.0378755:-76.3055144;America/New_York;United States;Lancaster
HLG;city;Wheeling;40.0639616:-80.7209149;America/Chicago;United States;Wheeling
DAT;city;Datong;40.076816:113.300126;Asia/Chongqing;China;Datong
TRX;city;Trenton;40.0789018:-93.6166074;America/Chicago;United States;Trenton
RNG;city;Rangely;40.0874759:-108.8048292;America/Denver;United States;Rangely
KPD;city;King Of Prussia;40.0892746:-75.3960211;America/New_York;United States;King Of Prussia
AID;city;Anderson;40.1053196:-85.6802541;America/Chicago;United States;Anderson
AND;city;Anderson;40.11:-85.61;America/Chicago;United States;Anderson
CMI;city;Champaign;40.1164204:-88.2433829;America/Chicago;United States;Champaign
DNV;city;Danville;40.124481:-87.6300207;America/North_Dakota/New_Salem;United States;Danville
DDG;city;Dandong;40.127344:124.384913;Asia/Chongqing;China;Dandong
FBY;city;Fairbury;40.1408333:-97.1775;America/North_Dakota/New_Salem;United States;Fairbury
DNH;city;Dunhuang;40.14213:94.661881;Asia/Urumqi;China;Dunhuang
AHC;city;Herlong;40.1435142:-120.1346519;America/Los_Angeles;United States;Herlong
BBX;city;Blue Bell;40.1523309:-75.266289;;United States;Blue Bell
CKZ;city;Canakkale;40.155312:26.41416;Europe/Istanbul;Turkey;Canakkale
AKO;city;Akron;40.1605373:-103.2143843;America/Phoenix;United States;Akron
HBO;city;Humboldt;40.165:-95.9458333;America/Chicago;United States;Humboldt
HUD;city;Humboldt;40.17:-95.95;America/Chicago;United States;Humboldt
WSG;city;Washington;40.17396:-80.2461714;America/Chicago;United States;Washington
RBL;city;Red Bluff;40.1784886:-122.2358302;America/Nome;United States;Red Bluff
LOL;city;Lovelock;40.1793537:-118.4734808;America/Los_Angeles;United States;Lovelock
BTZ;city;Bursa;40.18257:29.06687;Europe/Istanbul;Turkey;Bursa
EVN;city;Yerevan;40.183333:44.516667;Asia/Yerevan;Armenia;Yerevan
ONJ;city;Odate Noshiro;40.19:140.37;Asia/Tokyo;Japan;Odate Noshiro
BLM;city;Belmar - Farmingdale;40.19117:-74.1176405;America/Indiana/Vevay;United States;Belmar - Farmingdale
MIE;city;Muncie;40.1933767:-85.3863599;America/Chicago;United States;Muncie
IRK;city;Kirksville;40.1947539:-92.5832496;America/Chicago;United States;Kirksville
ARX;city;Neptune;40.2005472:-74.0314165;America/Indiana/Vevay;United States;Neptune
MCK;city;Mccook;40.2052778:-100.6261111;America/Chicago;United States;Mccook
CBP;city;Coimbra;40.211491:-8.4292014;Europe/Lisbon;Portugal;Coimbra
TTN;city;Trenton;40.2170534:-74.7429384;;United States;Trenton
HSB;city;Harrisburg;40.22:-76.85;America/Chicago;United States;Harrisburg
PVU;city;Provo;40.2338438:-111.6585337;America/Chicago;United States;Provo
PTW;city;Pottstown;40.2453741:-75.6496302;America/Chicago;United States;Pottstown
BIE;city;Beatrice;40.2680555:-96.7469704;America/Chicago;United States;Beatrice
MDT;city;Harrisburg;40.2737002:-76.8844179;;United States;Harrisburg
COV;city;Covilha;40.2826491:-7.5032603;Europe/Lisbon;Portugal;Covilha
LBD;city;Khudzhand;40.2833333:69.6333333;Asia/Dushanbe;Tajikistan;Khudzhand
ROL;city;Roosevelt;40.299403:-109.9887605;America/Chicago;United States;Roosevelt
KZI;city;Kozani;40.30103:21.785963;Europe/Athens;Greece;Kozani
AHF;city;Arapahoe;40.3038889:-99.8997222;America/New_York;United States;Arapahoe
DYL;city;Doylestown;40.3101063:-75.1298939;America/Chicago;United States;Doylestown
AOO;city;Martinsburg;40.3111875:-78.3241795;America/Chicago;United States;Martinsburg
TJK;city;Tokat;40.3166667:36.55;Europe/Istanbul;Turkey;Tokat
BDM;city;Bandirma;40.32:27.98;Europe/Istanbul;Turkey;Bandirma
LBE;city;Latrobe;40.3211808:-79.3794811;America/New_York;United States;Latrobe
JST;city;Johnstown;40.3267407:-78.9219698;America/Chicago;United States;Johnstown
RDG;city;Reading;40.3356483:-75.9268747;America/Chicago;United States;Reading
PCT;city;Princeton;40.3487181:-74.6590472;America/Chicago;United States;Princeton
LCC;city;Lecce;40.3532912:18.1740146;Europe/Rome;Italy;Lecce
MUU;city;Mount Union;40.3845217:-77.8822199;America/Chicago;United States;Mount Union
FEG;city;Fergana;40.38641:71.786377;Asia/Tashkent;Uzbekistan;Fergana
EOK;city;Keokuk;40.4025:-91.3944444;America/Indiana/Knox;United States;Keokuk
SVE;city;Susanville;40.4162842:-120.6530063;America/Los_Angeles;United States;Susanville
MAD;city;Madrid;40.4166909:-3.7003454;Europe/Madrid;Spain;Madrid
LAF;city;Lafayette;40.4167022:-86.8752869;America/Chicago;United States;Lafayette
GXY;city;Greeley;40.4233142:-104.7091322;America/Chicago;United States;Greeley
BSI;city;Blairsville;40.4311796:-79.260869;America/New_York;United States;Blairsville
BAK;city;Baku;40.4349504:49.8676232;Asia/Baku;Azerbaijan;Baku
HDE;city;Holdrege;40.439659:-99.376038;America/North_Dakota/New_Salem;United States;Holdrege
PIT;city;Pittsburgh;40.4406248:-79.9958864;America/New_York;United States;Pittsburgh
UKT;city;Quakertown;40.4417682:-75.3415667;America/New_York;United States;Quakertown
VEL;city;Vernal;40.4555157:-109.5287479;America/Phoenix;United States;Vernal
MQB;city;Macomb;40.4592076:-90.6717971;America/Chicago;United States;Macomb
TAR;city;Taranto;40.4692383:17.2400088;Europe/Rome;Italy;Taranto
BMI;city;Bloomington;40.4842027:-88.9936873;America/North_Dakota/New_Salem;United States;Bloomington
SBS;city;Steamboat Springs;40.4849769:-106.8317158;America/Los_Angeles;United States;Steamboat Springs
OKK;city;Kokomo;40.486427:-86.1336033;America/Chicago;United States;Kokomo
PHD;city;New Philadelphia;40.4897871:-81.4456706;America/Indiana/Vevay;United States;New Philadelphia
HDN;city;Hayden;40.4927778:-107.2552778;America/Chicago;United States;Hayden
HHE;city;Hachinohe;40.5122839:141.4883986;Asia/Tokyo;Japan;Hachinohe
CIG;city;Craig;40.5152491:-107.5464541;America/Indiana/Indianapolis;United States;Craig
IML;city;Imperial;40.5169402:-101.6432253;America/New_York;United States;Imperial
KSO;city;Kastoria;40.519218:21.268174;Europe/Athens;Greece;Kastoria
SKG;city;Thessaloniki;40.52:22.97;Europe/Athens;Greece;Thessaloniki
OSS;city;Osh;40.53:72.8;Asia/Bishkek;Kyrgyzstan;Osh
JVI;city;Manville;40.5409367:-74.5876569;America/Indiana/Indianapolis;United States;Manville
PRJ;city;Capri;40.55:14.25;Europe/Rome;Italy;Capri
AHO;city;Alghero;40.5579814:8.3222037;Europe/Rome;Italy;Alghero
AXV;city;Wapakoneta;40.5678265:-84.1935594;America/New_York;United States;Wapakoneta
XEN;city;Xingcheng;40.58:120.7;Asia/Shanghai;China;Xingcheng
FNL;city;Fort Collins;40.5852602:-105.084423;America/Phoenix;United States;Fort Collins
RDD;city;Redding;40.5865396:-122.3916754;America/Chicago;United States;Redding
MNN;city;Marion;40.5886699:-83.1285242;America/New_York;United States;Marion
HSI;city;Hastings;40.5891667:-98.3916667;America/New_York;United States;Hastings
KSY;city;Kars;40.59267:43.077831;Europe/Istanbul;Turkey;Kars
ABE;city;Allentown;40.6084305:-75.4901833;America/Chicago;United States;Allentown
FMS;city;Fort Madison;40.619742:-91.352178;America/Chicago;United States;Fort Madison
MZZ;city;Marion;40.62:-83.06;America/New_York;United States;Marion
IDI;city;Indiana;40.6214551:-79.1525349;America/Indiana/Vevay;United States;Indiana
LDJ;city;Linden;40.6220478:-74.2445902;America/Chicago;United States;Linden
STK;city;Sterling;40.6255415:-103.207709;America/New_York;United States;Sterling
BDS;city;Brindisi;40.6361753:17.9389909;Europe/Rome;Italy;Brindisi
BAM;city;Battle Mountain;40.6421334:-116.9342671;America/New_York;United States;Battle Mountain
VYS;city;Peru;40.65:-86.15;America/Chicago;United States;Peru
BAV;city;Baotou;40.657447:109.840386;Asia/Chongqing;China;Baotou
VSE;city;Viseu;40.6575445:-7.9142793;Europe/Lisbon;Portugal;Viseu
AYZ;city;Amityville;40.67:-73.42;America/New_York;United States;Amityville
RED;city;Reedsville;40.68:-77.63;America/Chicago;United States;Reedsville
POJ;city;Patos De Minas;40.68:19.65;America/Sao_Paulo;Brazil;Patos De Minas
KVD;city;Gyandzha;40.6827778:46.3605556;Asia/Baku;Azerbaijan;Gyandzha
MSJ;city;Misawa;40.6831337:141.3689761;Asia/Tokyo;Japan;Misawa
PIA;city;Peoria;40.6936488:-89.5889864;America/North_Dakota/New_Salem;United States;Peoria
EAR;city;Kearney;40.699959:-99.083107;America/Chicago;United States;Kearney
NYC;city;New York;40.7143528:-74.0059731;America/New_York;United States;New York
ISP;city;Islip;40.7298207:-73.2103934;America/Indiana/Vevay;United States;Islip
FRG;city;Farmingdale;40.7325997:-73.4454009;America/Chicago;United States;Farmingdale
GQQ;city;Galion;40.7336687:-82.7899026;America/Chicago;United States;Galion
ENV;city;Wendover;40.7371524:-114.0375102;America/New_York;United States;Wendover
ICL;city;Clarinda;40.7419352:-95.038313;America/Chicago;United States;Clarinda
AOH;city;Lima;40.742551:-84.1052256;America/New_York;United States;Lima
BPA;city;Bethpage;40.75:-73.48;America/Chicago;United States;Bethpage
ISH;city;Ischia;40.75:13.9;Europe/Rome;Italy;Ischia
BFP;city;Beaver Falls;40.7520097:-80.3192295;America/Chicago;United States;Beaver Falls
MFD;city;Mansfield;40.75839:-82.5154471;America/Chicago;United States;Mansfield
SLC;city;Salt Lake City;40.7607793:-111.8910474;America/Denver;United States;Salt Lake City
DPK;city;Deer Park;40.77:-73.33;America/Chicago;United States;Deer Park
KKT;city;Kentland;40.7703153:-87.4453033;America/New_York;United States;Kentland
LXN;city;Lexington;40.7750065:-99.7406712;America/Chicago;United States;Lexington
BUM;city;Butler;40.78:-79.95;America/Chicago;United States;Butler
AZN;city;Andizhan;40.7833333:72.3333333;Asia/Tashkent;Uzbekistan;Andizhan
LWN;city;Gyoumri;40.7894444:43.8475;Asia/Yerevan;Armenia;Gyoumri
SCE;city;State College;40.7933949:-77.8600012;America/Indiana/Vevay;United States;State College
MMU;city;Morristown;40.7967667:-74.4815438;America/Indiana/Indianapolis;United States;Morristown
SEG;city;Selinsgrove;40.7989735:-76.8621935;America/New_York;United States;Selinsgrove
EUE;city;Eureka;40.8:-124.11;America/Chicago;United States;Eureka
WSH;city;Shirley;40.8014876:-72.8676033;America/Chicago;United States;Shirley
EKA;city;Eureka;40.8020712:-124.1636729;;United States;Eureka
BJJ;city;Wooster;40.8050565:-81.935143;America/Chicago;United States;Wooster
LNK;city;Lincoln;40.806862:-96.681679;America/North_Dakota/New_Salem;United States;Lincoln
BRL;city;Burlington;40.8080556:-91.1158333;America/Chicago;United States;Burlington
AOJ;city;Aomori;40.822072:140.7473647;Asia/Tokyo;Japan;Aomori
FOK;city;Westhampton;40.8245437:-72.6662075;America/New_York;United States;Westhampton
DCR;city;Decatur;40.830603:-84.9291329;America/Chicago;United States;Decatur
EKO;city;Elko;40.8324211:-115.7631232;America/Los_Angeles;United States;Elko
CDW;city;Caldwell;40.8398218:-74.2765366;America/Indiana/Vevay;United States;Caldwell
NAP;city;Napoli;40.8400969:14.2516357;Europe/Rome;Italy;Napoli
RRO;city;Naples;40.8400969:14.2516357;Europe/Rome;Italy;Naples
HET;city;Hohhot;40.84231:111.748847;Asia/Harbin;China;Hohhot
AXD;city;Alexandroupolis;40.848815:25.873185;Europe/Athens;Greece;Alexandroupolis
KCO;city;Kocaeli;40.8532704:29.8815203;Europe/Istanbul;Turkey;Kocaeli
TEB;city;Teterboro;40.8598219:-74.0593075;America/New_York;United States;Teterboro
BTP;city;Butler;40.8611755:-79.8953328;America/Chicago;United States;Butler
ACV;city;Arcata;40.8665166:-124.0828396;America/Los_Angeles;United States;Arcata
EPG;city;Weeping Water;40.8700007:-96.1405661;America/Chicago;United States;Weeping Water
BTF;city;Bountiful;40.8893895:-111.880771;America/Denver;United States;Bountiful
OLB;city;Olbia;40.9:9.52;Europe/Rome;Italy;Olbia
CTO;city;Calverton;40.9064873:-72.7434331;America/New_York;United States;Calverton
KVA;city;Kavala;40.91:24.62;Europe/Athens;Greece;Kavala
PSB;city;Bellefonte;40.9133943:-77.7783348;America/Chicago;United States;Bellefonte
GRI;city;Grand Island;40.9222222:-98.3580556;America/North_Dakota/New_Salem;United States;Grand Island
RNZ;city;Rensselaer;40.9367045:-87.1508562;America/Chicago;United States;Rensselaer
GBG;city;Galesburg;40.9478158:-90.3712395;America/Chicago;United States;Galesburg
HZL;city;Hazleton;40.9584181:-75.9746472;America/Chicago;United States;Hazleton
HTO;city;East Hampton;40.9634335:-72.1848009;America/Chicago;United States;East Hampton
SLM;city;Salamanca;40.9649681:-5.6630253;Europe/Madrid;Spain;Salamanca
MPZ;city;Mount Pleasant;40.9669444:-91.5511111;America/New_York;United States;Mount Pleasant
WMC;city;Winnemucca;40.9729584:-117.7356849;America/Los_Angeles;United States;Winnemucca
IST;city;Istanbul;40.98:28.81;Europe/Istanbul;Turkey;Istanbul
TEQ;city;Tekirdag;40.9833333:27.5166667;Europe/Istanbul;Turkey;Tekirdag
NMA;city;Namangan;40.99902:71.679657;Asia/Tashkent;Uzbekistan;Namangan
ESP;city;East Stroudsburg;40.9995386:-75.1812913;America/New_York;United States;East Stroudsburg
TZX;city;Trabzon;41.0:39.7333333;Europe/Istanbul;Turkey;Trabzon
FFL;city;Fairfield;41.0072222:-91.9658333;America/Chicago;United States;Fairfield
OTM;city;Ottumwa;41.0180701:-92.4154631;America/Chicago;United States;Ottumwa
MTP;city;Montauk;41.0359353:-71.9545146;America/Chicago;United States;Montauk
FDY;city;Findlay;41.04422:-83.6499321;America/New_York;United States;Findlay
CSQ;city;Creston;41.0591667:-94.3644444;America/New_York;United States;Creston
RCR;city;Rochester;41.0647645:-86.2158331;America/Chicago;United States;Rochester
FWA;city;Fort Wayne;41.079273:-85.1393513;America/Indiana/Vevay;United States;Fort Wayne
AKC;city;Akron;41.0814447:-81.5190053;;United States;Akron
JNZ;city;Jinzhou;41.095123:121.127063;Asia/Harbin;China;Jinzhou
YNG;city;Youngstown;41.0997803:-80.6495194;America/Chicago;United States;Youngstown
AOG;city;Anshan;41.108546:122.994646;Asia/Shanghai;China;Anshan
LWL;city;Wells;41.1115888:-114.96449;America/Chicago;United States;Wells
IKK;city;Kankakee;41.1200325:-87.8611531;America/Chicago;United States;Kankakee
DUJ;city;Du Bois;41.1210115:-78.7583257;America/Chicago;United States;Du Bois
MPO;city;Mount Pocono;41.1220337:-75.3646282;America/Indiana/Vevay;United States;Mount Pocono
LBF;city;North Platte;41.1238873:-100.7654232;America/Chicago;United States;North Platte
BRI;city;Bari;41.1259998:16.8683784;Europe/Rome;Italy;Bari
OGA;city;Ogallala;41.1288889:-101.7194444;America/Denver;United States;Ogallala
LHV;city;Lock Haven;41.1370133:-77.4469263;America/New_York;United States;Lock Haven
CYS;city;Cheyenne;41.1399814:-104.8202462;America/Chicago;United States;Cheyenne
OPO;city;Porto;41.149968:-8.6102426;Europe/Lisbon;Portugal;Porto
DRM;city;Drama;41.15044:24.152259;Europe/Athens;Greece;Drama
REU;city;Reus;41.1548179:1.108676;Africa/Ceuta;Spain;Reus
AKU;city;Aksu;41.168779:80.260605;Asia/Kashgar;China;Aksu
CYE;city;Crystal Lake;41.1730695:-75.828701;America/Indiana/Knox;United States;Crystal Lake
BID;city;Block Island;41.1735454:-71.5850187;America/Detroit;United States;Block Island
BDF;city;Bradford;41.1772593:-89.6575977;America/Chicago;United States;Bradford
OHD;city;Ohrid;41.18:20.74;Europe/Skopje;Macedonia;Ohrid
BDR;city;Bridgeport;41.1865478:-73.1951767;America/Chicago;United States;Bridgeport
MIQ;city;MaiquetÌ_a;41.2:-96.11;;Venezuela;MaiquetÌ_a
OGD;city;Ogden;41.223:-111.9738304;America/Chicago;United States;Ogden
BFD;city;Bradford;41.23:-89.62;America/Chicago;United States;Bradford
IPT;city;Williamsport;41.2411897:-77.0010786;America/New_York;United States;Williamsport
AVP;city;Wilkes-Barre;41.2459149:-75.8813075;America/Chicago;United States;Wilkes-Barre
OMA;city;Omaha;41.2523634:-95.9979883;America/Chicago;United States;Omaha
FID;city;Fishers Island;41.2570434:-72.0239626;America/Kentucky/Monticello;United States;Fishers Island
CBF;city;Council Bluffs;41.2619444:-95.8608333;America/Chicago;United States;Council Bluffs
TAS;city;Tashkent;41.2666667:69.2166667;Asia/Tashkent;Uzbekistan;Tashkent
EVW;city;Evanston;41.2682794:-110.9632373;America/New_York;United States;Evanston
MPE;city;Madison;41.27:-72.55;America/Chicago;United States;Madison
KFS;city;Kastamonu;41.27:22.89;+0.0;Turkey;Kastamonu
ACK;city;Nantucket;41.2834563:-70.0994605;America/New_York;United States;Nantucket
DFI;city;Defiance;41.2844933:-84.3557802;America/New_York;United States;Defiance
SSX;city;Samsun;41.292782:36.33128;Europe/Istanbul;Turkey;Samsun
OOA;city;Oskaloosa;41.2938889:-92.6444444;America/Chicago;United States;Oskaloosa
VRL;city;Vila Real;41.2958976:-7.7463528;Europe/Lisbon;Portugal;Vila Real
HVN;city;New Haven;41.3081527:-72.9281577;America/Chicago;United States;New Haven
MHS;city;Mount Shasta;41.3098746:-122.3105666;America/Los_Angeles;United States;Mount Shasta
LAR;city;Laramie;41.3113669:-105.5911007;America/Denver;United States;Laramie
FBR;city;Fort Bridger;41.3166168:-110.3843251;America/Denver;United States;Fort Bridger
TIA;city;Tirana;41.326:19.816;Europe/Tirane;Albania;Tirana
PLY;city;Plymouth;41.3436554:-86.3097278;America/New_York;United States;Plymouth
GON;city;New London;41.3556539:-72.0995209;America/Chicago;United States;New London
WST;city;Westerly;41.3775996:-71.8272911;America/Indiana/Vevay;United States;Westerly
FKN;city;Franklin;41.38:-79.86;America/Chicago;United States;Franklin
BCN;city;Barcelona;41.387917:2.1699187;Europe/Madrid;Spain;Barcelona
DXR;city;Danbury;41.394817:-73.4540111;America/Indiana/Vevay;United States;Danbury
FKL;city;Franklin;41.3978358:-79.8314437;America/Chicago;United States;Franklin
AIO;city;Atlantic;41.4036007:-95.0138776;America/New_York;United States;Atlantic
BBW;city;Broken Bow;41.4047222:-99.6413889;America/Chicago;United States;Broken Bow
OKS;city;Oshkosh;41.4086111:-102.3463889;America/North_Dakota/New_Salem;United States;Oshkosh
MUT;city;Muscatine;41.424473:-91.0432051;America/Chicago;United States;Muscatine
OLU;city;Columbus;41.4327778:-97.3586111;America/North_Dakota/New_Salem;United States;Columbus
OIL;city;Oil City;41.4339484:-79.7064413;America/Indiana/Vevay;United States;Oil City
OXC;city;Oxford;41.4339853:-73.1167766;America/Indiana/Vevay;United States;Oxford
STQ;city;St Marys;41.4375:-78.5427778;Europe/London;United States;St Marys
FET;city;Fremont;41.4397222:-96.49;America/Chicago;United States;Fremont
SKY;city;Sandusky;41.4489396:-82.7079605;America/Chicago;United States;Sandusky
MVY;city;Vineyard Haven;41.4542786:-70.6036395;America/Indiana/Vevay;United States;Vineyard Haven
SAA;city;Saratoga;41.4549621:-106.8064263;America/Chicago;United States;Saratoga
ONQ;city;Zonguldak;41.456409:31.798731;+0.0;Turkey;Zonguldak
LPR;city;Lorain;41.461:-82.165;;United States;Lorain
FOG;city;Foggia;41.4622919:15.5447458;Europe/Rome;Italy;Foggia
UOX;city;Oxford;41.48:-73.14;America/Chicago;United States;Oxford
FSC;city;Figari;41.48734:9.130112;Europe/Paris;France;Figari
NPT;city;Newport;41.4901024:-71.3128285;America/Chicago;United States;Newport
CLE;city;Cleveland;41.4994954:-81.6954088;America/New_York;United States;Cleveland
SWF;city;Newburgh;41.5034271:-74.0104178;;United States;Newburgh
MLI;city;Moline;41.5067003:-90.5151342;America/Chicago;United States;Moline
BMC;city;Brigham City;41.5102129:-112.0155015;America/Denver;United States;Brigham City
DVN;city;Davenport;41.5236437:-90.5776367;America/Chicago;United States;Davenport
JOT;city;Joliet;41.525031:-88.0817251;America/Chicago;United States;Joliet
MGJ;city;Montgomery;41.5275938:-74.236816;America/Chicago;United States;Montgomery
BGZ;city;Braga;41.5517605:-8.4229034;Europe/Lisbon;Portugal;Braga
UGC;city;Urgench;41.55386:60.621769;Asia/Samarkand;Uzbekistan;Urgench
AFS;city;Zarafshan;41.578861:64.19313;;Uzbekistan;Zarafshan
GSH;city;Goshen;41.5822716:-85.8344383;America/New_York;United States;Goshen
RKS;city;Rock Springs;41.5874644:-109.2029043;America/Chicago;United States;Rock Springs
LOT;city;Lockport;41.5894752:-88.057837;America/New_York;United States;Lockport
GYY;city;Gary;41.5933696:-87.3464271;;United States;Gary
DSM;city;Des Moines;41.6005448:-93.6091064;America/North_Dakota/New_Salem;United States;Des Moines
LPO;city;Laporte;41.6091667:-86.7175;America/Chicago;United States;Laporte
TWH;city;Two Harbors, Catalina Island;41.63:-120.05;;United States;Two Harbors, Catalina Island
POU;city;Poughkeepsie;41.63:-73.88;America/Chicago;United States;Poughkeepsie
MEJ;city;Meadville;41.63:-80.21;America/Chicago;United States;Meadville
ANQ;city;Angola;41.6347726:-84.9994088;America/New_York;United States;Angola
EWB;city;New Bedford;41.6362152:-70.934205;America/Chicago;United States;New Bedford
